                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4585,                 3.8698,                 1.3128,                0.00083,                0.42105,                0.00129,                0.00034,                 1.6465,                 6.4036,                 1.3692,                  4e-05,                  4e-05,                  4e-05
                      2,                 1.4498,                 3.9576,                   1.35,                0.00125,                0.63158,                0.00201,                0.00081,                 1.5809,                 6.4501,                 1.3263,             9.9901e-05,             9.9901e-05,             9.9901e-05
                      3,                 1.4473,                 4.3912,                 1.3364,                0.00146,                0.73684,                0.00566,                0.00193,                 1.5903,                 5.8927,                 1.3359,             0.00015968,             0.00015968,             0.00015968
                      4,                  1.243,                 3.1665,                 1.1946,                0.00156,                0.78947,                0.00735,                0.00369,                 1.7227,                 5.6411,                 1.3525,             0.00021935,             0.00021935,             0.00021935
                      5,                 1.2866,                 3.0371,                 1.1257,                0.00167,                0.84211,                0.00331,                0.00129,                 1.5002,                 5.3053,                  1.333,             0.00027889,             0.00027889,             0.00027889
                      6,                 1.2211,                 2.8615,                  1.206,                0.00135,                0.68421,                0.00236,                0.00109,                 1.4651,                 5.3787,                 1.3663,             0.00033832,             0.00033832,             0.00033832
                      7,                 1.0834,                 2.6221,                 1.1179,                0.00125,                0.63158,                0.00384,                0.00246,                 1.4638,                 5.4519,                 1.3369,             0.00039762,             0.00039762,             0.00039762
                      8,                 1.0781,                  2.262,                 1.0676,                0.00135,                0.68421,                0.00455,                0.00323,                 1.4516,                 5.7087,                 1.3267,             0.00045681,             0.00045681,             0.00045681
                      9,                 1.1382,                 2.4035,                 1.1559,                0.00094,                0.47368,                0.00383,                0.00286,                 1.4671,                 5.7182,                   1.41,             0.00051588,             0.00051588,             0.00051588
                     10,                 1.2216,                 2.3741,                 1.1375,                0.00083,                0.42105,                0.00407,                0.00105,                 1.7078,                 6.0894,                 1.5039,             0.00057483,             0.00057483,             0.00057483
                     11,                 1.2896,                 2.1335,                 1.1867,                0.00094,                0.47368,                0.00265,                0.00106,                 1.8118,                 6.0692,                 1.5675,             0.00063366,             0.00063366,             0.00063366
                     12,                 1.0149,                  2.559,                 1.1293,                0.00083,                0.42105,                0.00082,                0.00037,                 1.8867,                 6.4076,                 1.6088,             0.00069238,             0.00069238,             0.00069238
                     13,                 1.2867,                 2.2422,                 1.1339,                0.00083,                0.42105,                0.00103,                0.00039,                 1.7234,                 6.4644,                 1.5612,             0.00075097,             0.00075097,             0.00075097
                     14,                 1.1393,                 2.0241,                  1.151,                0.00063,                0.31579,                0.00046,                0.00017,                 1.9408,                 6.7268,                  1.711,             0.00080945,             0.00080945,             0.00080945
                     15,                 1.0371,                 1.9587,                 1.1134,                0.00115,                0.57895,                0.00117,                0.00061,                 1.9432,                 6.8089,                 1.6251,              0.0008678,              0.0008678,              0.0008678
                     16,                 1.2209,                 2.1912,                 1.1418,                0.00135,                0.68421,                0.00164,                0.00073,                 1.8587,                 6.5216,                 1.5224,             0.00092604,             0.00092604,             0.00092604
                     17,                 1.2789,                 2.3094,                 1.1695,                0.00352,                0.10526,                0.00479,                0.00178,                 1.8263,                 5.9012,                 1.6016,             0.00098416,             0.00098416,             0.00098416
                     18,                 1.2367,                  2.205,                 1.1589,                0.04246,                0.05263,                0.00623,                0.00202,                 1.7944,                 6.1409,                 1.5537,              0.0010422,              0.0010422,              0.0010422
                     19,                 1.0291,                 1.7709,                 1.0871,                0.05724,                0.05263,                0.01119,                0.00378,                  1.908,                 7.5636,                 1.5321,                 0.0011,                 0.0011,                 0.0011
                     20,                 1.0619,                 1.9643,                 1.0733,                0.14789,                0.05263,                0.05656,                0.01296,                 1.9848,                 7.9024,                 1.5714,              0.0011578,              0.0011578,              0.0011578
                     21,                 1.1696,                  2.005,                 1.1574,                0.00104,                0.52632,                0.00114,                0.00042,                 2.0977,                 6.6693,                 1.8253,              0.0012154,              0.0012154,              0.0012154
                     22,                0.99774,                  1.794,                 1.0456,                0.00274,                0.05263,                0.00233,                0.00077,                 2.0123,                 6.0371,                 1.7618,               0.001273,               0.001273,               0.001273
                     23,                 1.1272,                 1.7984,                 1.0836,                0.00115,                0.57895,                0.00127,                 0.0005,                 2.2446,                 5.9658,                 2.0831,              0.0013304,              0.0013304,              0.0013304
                     24,                 1.2161,                 1.9916,                   1.24,                0.00094,                0.47368,                0.00088,                0.00041,                 2.3602,                 6.7064,                 2.2336,              0.0013877,              0.0013877,              0.0013877
                     25,                 1.1561,                 1.8082,                 1.1538,                0.03295,                0.05263,                0.00556,                0.00158,                 2.2073,                  7.969,                 1.9433,              0.0014448,              0.0014448,              0.0014448
                     26,                 1.1621,                 1.8622,                 1.1123,                0.01282,                0.05263,                0.00187,                0.00052,                 2.1115,                  9.657,                 1.9895,              0.0015019,              0.0015019,              0.0015019
                     27,                0.98448,                 1.8084,                 1.1368,                0.00796,                0.05263,                0.00171,                0.00049,                 2.3084,                 13.951,                   2.06,              0.0015588,              0.0015588,              0.0015588
                     28,                 1.1512,                 1.7631,                 1.1337,                 0.0036,                0.05263,                0.00172,                0.00058,                 2.2969,                 10.901,                 2.1905,              0.0016156,              0.0016156,              0.0016156
                     29,                 1.1246,                 1.6539,                 1.1161,                0.00115,                0.57895,                0.00123,                0.00045,                 2.3395,                 6.1648,                 2.2024,              0.0016723,              0.0016723,              0.0016723
                     30,                 1.0867,                 1.9051,                 1.2352,                0.00115,                0.57895,                0.00105,                0.00044,                 2.6152,                 9.9637,                 2.3659,              0.0017289,              0.0017289,              0.0017289
                     31,                 1.0777,                 1.5691,                 1.1609,                 0.0025,                0.15789,                 0.0019,                 0.0007,                  2.603,                 13.504,                 2.4054,              0.0017854,              0.0017854,              0.0017854
                     32,                  1.172,                 1.8735,                  1.253,                0.00286,                0.15789,                0.00264,                0.00093,                 2.5114,                 11.842,                 2.2937,              0.0018417,              0.0018417,              0.0018417
                     33,                 1.2277,                 1.5286,                 1.1866,                0.00964,                0.21053,                 0.0058,                0.00156,                 2.4409,                 11.675,                 2.2159,              0.0018979,              0.0018979,              0.0018979
                     34,                 1.3034,                 1.8449,                 1.1891,                 0.0295,                0.05263,                0.01171,                0.00362,                  2.368,                 6.4769,                 2.0749,              0.0019347,              0.0019347,              0.0019347
                     35,                 1.1865,                 1.6825,                  1.189,                 0.8999,                0.21053,                0.25347,                0.12381,                 2.1976,                 5.1943,                 2.0028,              0.0019327,              0.0019327,              0.0019327
                     36,                 1.2514,                 1.6102,                 1.1941,                0.54243,                0.26316,                0.26557,                0.10235,                 2.2851,                 3.3843,                 2.2792,              0.0019307,              0.0019307,              0.0019307
                     37,                 1.2265,                  1.584,                 1.2267,                0.13448,                0.31579,                0.07965,                0.02839,                 2.1685,                 3.5505,                 2.2656,              0.0019287,              0.0019287,              0.0019287
                     38,                 1.1286,                  1.493,                  1.106,                0.10515,                0.31579,                0.04867,                0.01846,                 2.2786,                 4.7027,                 2.3116,              0.0019267,              0.0019267,              0.0019267
                     39,                 1.0282,                 1.3613,                 1.0588,                0.12212,                0.10526,                0.03149,                0.01531,                 2.3286,                 4.5689,                 2.2401,              0.0019248,              0.0019248,              0.0019248
                     40,                 1.1113,                 1.4691,                 1.1251,                0.03176,                0.15789,                0.00702,                0.00195,                  2.267,                 5.2246,                 2.2413,              0.0019228,              0.0019228,              0.0019228
                     41,                 1.0934,                 1.3936,                 1.0989,                0.10419,                0.10526,                0.03583,                0.00625,                 2.4771,                 5.7977,                 2.5427,              0.0019208,              0.0019208,              0.0019208
                     42,                 1.2545,                 1.6965,                 1.3022,                0.08915,                0.10526,                 0.0174,                0.00584,                 2.4423,                 5.6256,                 2.1967,              0.0019188,              0.0019188,              0.0019188
                     43,                 1.1635,                 1.4667,                  1.286,                0.16856,                0.17123,                0.10332,                0.03011,                 2.4766,                 7.2188,                 2.2245,              0.0019168,              0.0019168,              0.0019168
                     44,                 1.1342,                 1.4223,                 1.1559,                0.13095,                0.26316,                0.08475,                0.03418,                 2.4048,                  8.196,                 2.1775,              0.0019149,              0.0019149,              0.0019149
                     45,                 1.1338,                 1.3579,                 1.1742,                0.43981,                0.26316,                 0.1833,                0.04772,                 2.5144,                 8.0267,                 2.3285,              0.0019129,              0.0019129,              0.0019129
                     46,                 1.0936,                 1.4391,                 1.1611,                0.12553,                0.21053,                0.06302,                0.01949,                 2.3633,                 8.3648,                 2.1477,              0.0019109,              0.0019109,              0.0019109
                     47,                 1.2725,                 1.7305,                 1.3058,                0.27905,                0.05263,                 0.0255,                0.01147,                 2.2965,                 6.7956,                 2.1956,              0.0019089,              0.0019089,              0.0019089
                     48,                 1.1158,                 1.2812,                 1.1566,                0.03996,                0.10526,                0.00734,                0.00231,                 2.4447,                 8.8245,                 2.3307,              0.0019069,              0.0019069,              0.0019069
                     49,                 1.1456,                 1.2703,                   1.14,                0.01052,                0.05263,                0.00208,                0.00082,                 2.6072,                 11.383,                 2.6761,               0.001905,               0.001905,               0.001905
                     50,                 1.1381,                 1.3401,                 1.1636,                0.00094,                0.05263,                0.00032,                0.00018,                 2.9726,                 14.558,                 3.1199,               0.001903,               0.001903,               0.001903
                     51,                 1.2012,                 1.2549,                 1.1268,                0.00557,                0.05263,                0.00173,                0.00074,                 2.4242,                  12.81,                 2.7144,               0.001901,               0.001901,               0.001901
                     52,                 1.0783,                  1.325,                 1.0875,                  0.024,                0.05263,                0.00332,                0.00124,                  2.523,                 16.545,                 2.6288,               0.001899,               0.001899,               0.001899
                     53,                 1.1435,                 1.4804,                 1.1736,                 0.0284,                0.05263,                0.00457,                 0.0022,                 2.4742,                 11.258,                 2.4846,               0.001897,               0.001897,               0.001897
                     54,                 1.1459,                 1.3281,                 1.1286,                0.01802,                0.10526,                0.00661,                0.00334,                 2.3915,                 9.4733,                 2.2474,              0.0018951,              0.0018951,              0.0018951
                     55,                 1.2512,                  1.357,                 1.1978,                0.04357,                0.10526,                0.01346,                0.00513,                 2.2508,                 15.512,                 2.0262,              0.0018931,              0.0018931,              0.0018931
                     56,                 1.1516,                 1.2994,                 1.1807,                0.05663,                0.10526,                0.01263,                0.00354,                 2.4139,                 14.104,                   2.32,              0.0018911,              0.0018911,              0.0018911
