epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.07106,2.25628,5.06396,1.66204,0.00159,0.44151,0.00162,0.00062,1.83944,4.6918,1.44455,0.00016,0.00016,0.00016
2,7.06571,1.80387,4.15677,1.3604,0.00308,0.8566,0.24605,0.10353,1.50134,4.18676,1.19494,0.000336634,0.000336634,0.000336634
3,10.0567,1.63872,3.46133,1.2657,0.00302,0.41132,0.1771,0.08972,1.4418,4.07074,1.18811,0.000509704,0.000509704,0.000509704
4,13.1244,1.64317,2.87161,1.27566,0.00312,0.86792,0.0104,0.00479,1.43721,4.15596,1.30584,0.00067921,0.00067921,0.00067921
5,16.1259,1.52925,2.83298,1.27922,0.00328,0.91321,0.12024,0.04847,1.54907,4.25571,1.28864,0.000845152,0.000845152,0.000845152
6,18.9275,1.59474,2.64323,1.27777,0.00316,0.87925,0.11974,0.05277,1.67015,4.23834,1.3305,0.00100753,0.00100753,0.00100753
7,21.7711,1.53612,2.33313,1.28006,0.68858,0.07547,0.17585,0.08438,1.50453,4.05767,1.25545,0.00116634,0.00116634,0.00116634
8,24.5902,1.47018,2.19916,1.19107,0.85781,0.15937,0.38226,0.18671,1.41659,3.59973,1.22819,0.00132159,0.00132159,0.00132159
9,27.4661,1.47947,2.13997,1.22838,0.80631,0.41887,0.58589,0.25747,1.6711,3.19483,1.52415,0.00147328,0.00147328,0.00147328
10,30.3741,1.56998,1.96483,1.29046,0.60166,0.39245,0.49332,0.24997,1.55569,2.99632,1.36509,0.0016214,0.0016214,0.0016214
11,33.3305,1.51846,1.97553,1.25609,0.50657,0.43776,0.45508,0.24494,1.49398,2.86036,1.2796,0.00176596,0.00176596,0.00176596
12,36.3993,1.43956,1.88079,1.2285,0.57691,0.44906,0.4828,0.24168,1.6185,3.82628,1.38853,0.0017822,0.0017822,0.0017822
13,39.2699,1.44519,1.74013,1.21778,0.58633,0.34717,0.38918,0.20803,1.63206,2.67797,1.4027,0.0017624,0.0017624,0.0017624
14,42.1058,1.5146,1.78935,1.32318,0.52389,0.40755,0.40587,0.20587,1.65744,2.35804,1.37929,0.0017426,0.0017426,0.0017426
15,45.0585,1.53278,1.70201,1.27841,0.62841,0.52969,0.57199,0.28273,1.61884,2.1133,1.38974,0.0017228,0.0017228,0.0017228
16,47.8674,1.45859,1.64858,1.28029,0.59665,0.67543,0.65198,0.33095,1.47285,2.2196,1.29137,0.001703,0.001703,0.001703
17,50.6952,1.45174,1.608,1.25154,0.5599,0.66732,0.63039,0.35614,1.48841,1.95165,1.35215,0.0016832,0.0016832,0.0016832
